account_code,location,dimension,power_rating,brand,serial_number,purchase_year
171.03.02.01.42,Lantai 3 / III Abu Bakar Shiddiq,1,220,DAIKIN,FTP25AV14 K013376,2024
171.03.02.01.43,Lantai 3 / III Umar Bin Kahttab,1,220,SHARP,AH-A9TEY51005505,2018
171.03.02.01.44,Lantai 3 / III Umar Bin Kahttab,1,220,DAIKIN,FTC15NV14 E307668,2021
171.03.02.01.45,Lantai 3 / III Usman Bin Affan,1,220,DAIKIN,FTP25AV14 K055583,2024
171.03.02.01.46,Lantai 3 / III Usman Bin Affan,1,220,DAIKIN,FTP25AV14 K125009,2022
171.03.02.01.47,Lantai 3 / IV Abu Bakar Siddiq,1,220,DAIKIN,FTC15NV14 E650305,2023
171.03.02.01.48,Lantai 3 / IV Abu Bakar Siddiq,1,220,PANASONIC,CS-C9EKH-77176924264,2018
171.03.02.01.49,Lantai 3 / IV Umar Bin Kahttab,1,220,DAIKIN,FTC15NV14 E650301,2023
171.03.02.01.50,Lantai 3 / IV Umar Bin Kahttab,1,220,DAIKIN,FTC15NV14 E299190,2022
171.03.02.01.51,Lantai 3 / IV Usman Bin Affan,1.5,220,LG,BSNC1264NUI,2018
171.03.02.01.52,Lantai 3 / IV Usman Bin Affan,1,220,GREE,GWC-09M005/163249900784,2022
171.03.02.01.53,Lantai 3 / VI Abu Bakar Siddiq,1,220,DAIKIN,FTC15NV14 E702322,2024
171.03.02.01.54,Lantai 3 / VI Abu Bakar Siddiq,1,220,DAIKIN,FTC15NV14 E792284,2025
171.03.02.01.55,Lantai 3 / VI Umar Bin Kahttab,1,220,DAIKIN,FTC15NV14 E792287,2025
171.03.02.01.56,Lantai 3 / VI Umar Bin Kahttab,1,220,DAIKIN,FTC15NV14 E792293,2025
171.03.02.01.57,Lantai 3 / Ruang ASBD,1,220,DAIKIN,FTC15NV14 E792113,2025
171.03.02.01.58,Lantai 3 / Ruang ASBD,1,220,DAIKIN,FTC15NV14 E787899,2025
